0,19
1,67
2,105
3,118
4,138
5,111
6,117
7,139
8,102
9,128
10,141
11,204
12,168
13,258
14,229
15,208
16,277
17,333
18,384
19,290
20,475
21,310
22,304
23,579
24,465
25,504
26,491
27,596
28,435
29,561
30,564
31,521
32,555
33,554
34,667
35,495
36,618
37,658
38,613
39,576
40,775
41,624
42,572
43,770
44,634
45,710
46,728
47,831
48,615
49,658
50,853
51,725
52,762
53,874
54,883
55,721
56,866
57,942
58,700
59,884
60,914
61,860
62,715
63,999
64,968
65,821
66,862
67,1102
68,998
69,979
70,1339
71,1198
72,1403
73,1458
74,1718
75,1334
76,1534
77,1579
78,1589
79,1578
80,1491
81,1817
82,1650
83,1862
84,2039
85,1719
86,2284
87,2250
88,2768
89,2041
90,2285
91,2868
92,2423
93,2634
94,2925
95,2715
96,2437
97,3392
98,3183
99,2373
100,2988
101,2954
102,3568
103,2762
104,3470
105,2491
106,2518
107,2526
108,3160
109,2924
110,2892
111,3386
112,2667
113,3004
114,2992
115,3151
116,2625
117,2863
118,3505
119,2454
120,2632
121,2537
122,2829
123,2646
124,2708
125,2543
126,2127
127,2221
128,2034
129,2009
130,1901
131,2102
132,1767
133,2091
134,1882
135,1574
136,2234
137,1888
138,1902
139,2271
140,2459
141,2380
142,1992
143,2587
144,2207
145,2624
146,2553
147,2373
148,2425
149,2272
150,2556
151,2202
152,2253
153,2048
154,2049
155,2012
156,2047
157,1997
158,1688
159,2021
160,1888
161,1862
162,1852
163,1778
164,1618
165,1561
166,1456
167,1262
168,1303
169,1227
170,1251
171,1010
172,1178
173,1191
174,952
175,964
176,995
177,1121
178,852
179,1037
180,900
181,734
182,775
183,786
184,720
185,661
186,755
187,574
188,623
189,656
190,583
191,572
192,604
193,643
194,485
195,544
196,578
197,521
198,447
199,505
200,530
201,408
202,447
203,449
204,455
205,368
206,454
207,369
208,314
209,353
210,334
211,330
212,267
213,280
214,335
215,298
216,355
217,343
218,284
219,250
220,360
221,279
222,266
223,306
224,252
225,211
226,195
227,307
228,239
229,194
230,203
231,150
232,149
233,147
234,155
235,91
236,123
237,137
238,111
239,118
240,152
241,125
242,95
243,150
244,253
245,216
246,353
247,386
248,226
249,384
250,908
251,1090
252,3562
253,765
254,444
255,0
